LocationId,City,State,LocationCounty,MatchStatus,SourceGeoType,SourceStateName,SourceGeoName,Year,DaysWithAQI,MedianAQI,P90AQI,MaxAQI,GoodDays,ModerateDays,UnhealthySensitiveDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,SourceUrl
66,Chicago,IL,Cook,matched_county,county,Illinois,Cook,2005,365,67,108,208,57,257,38,11,2,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
70,Danville,IL,Vermilion,unmatched,,,,2005,,,,,,,,,,,
87,Fort Wayne,IN,Allen,matched_county,county,Indiana,Allen,2005,365,58,101,164,102,226,32,5,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
25,Indianopolis,IN,Marion,matched_county,county,Indiana,Marion,2005,365,67,105,159,50,275,36,4,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
74,Overland Park,KS,Johnson,matched_county,county,Kansas,Johnson,2005,360,47,80,150,214,131,15,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
26,Wichita,KS,Sedgwick,matched_county,county,Kansas,Sedgwick,2005,365,44,80,140,228,126,11,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
27,Louisville,KY,Jefferson,matched_county,county,Kentucky,Jefferson,2005,365,66,106,164,50,268,44,3,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
28,New Orleans,LA,Orleans,matched_county,county,Louisiana,Orleans,2005,311,56,76,136,99,209,3,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
29,Boston,MA,Suffolk,matched_county,county,Massachusetts,Suffolk,2005,365,61,90,174,49,293,18,5,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
30,Baltimore,MD,Baltimore,matched_county,county,Maryland,Baltimore,2005,365,61,99,208,99,233,26,6,1,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
86,Bath,ME,Sagadahoc,matched_county,county,Maine,Sagadahoc,2005,167,36,77,159,139,22,5,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
31,Portland,ME,Cumberland,matched_county,county,Maine,Cumberland,2005,365,37,56,143,310,47,8,0,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
32,Warren,MI,Macomb,matched_county,county,Michigan,Macomb,2005,359,40,100,195,233,91,26,9,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
80,Burnsville,MN,Dakota,matched_county,county,Minnesota,Dakota,2005,365,49,71,153,185,176,3,1,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
33,Minneapolis,MN,Hennepin,matched_county,county,Minnesota,Hennepin,2005,365,53,72,162,160,199,4,2,0,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_county_2005.zip
34,St. Charles,MO,St. Charles,matched_cbsa,cbsa,Missouri,"St. Louis, MO-IL",2005,365,77,140,205,24,260,53,26,2,0,https://aqs.epa.gov/aqsweb/airdata/annual_aqi_by_cbsa_2005.zip
