"Company","ATS","Title","Field","Team","Location","Region","Employment","PayMin","PayMax","PayInterval","Education","URL","DefenseRelevance","DefenseSignal"
"BAE Systems","BrassRing","Engineer Senior Principal - FPGA Design - $20K Sign On Bonus","Engineering & Technology","","Chantilly, VA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298880","prime",""
"BAE Systems","BrassRing","CNC Machinist I - $33.75/hr + $5000 sign on bonus","Manufacturing & Maintenance","","Louisville, KY","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298306","prime",""
"BAE Systems","BrassRing","Senior Electrical System Engineer – Payloads - $20K Sign On Bonus","Engineering & Technology","","Westminster, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299827","prime",""
"BAE Systems","BrassRing","CNC Machinist III - $36.19/hr + $5000 sign on bonus","Manufacturing & Maintenance","","Louisville, KY","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298307","prime",""
"BAE Systems","BrassRing","Operations Quality Engineer (Weekend Shift)","Engineering & Technology","","York, PA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299170","prime",""
"BAE Systems","BrassRing","Pipefitter (Trade School)","Manufacturing & Maintenance","","Norfolk, VA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299813","prime",""
"BAE Systems","BrassRing","Senior Facilities Mechanical Engineer","Engineering & Technology","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299506","prime",""
"BAE Systems","BrassRing","Engineer Senior Principal – Systems","Engineering & Technology","","Broomfield, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299068","prime",""
"BAE Systems","BrassRing","YRK USW Welder (Hobart)","Manufacturing & Maintenance","","York, PA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299013","prime",""
"BAE Systems","BrassRing","YRK USW Welder (UTI-Mooresville)","Manufacturing & Maintenance","","York, PA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299009","prime",""
"BAE Systems","BrassRing","Senior System Test Engineer - Mechanisms and Test Scripts - $10K Sign on Bonus","Engineering & Technology","","Boulder, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301608","prime",""
"BAE Systems","BrassRing","Senior Engineer – Software Integration","Engineering & Technology","","Fairborn, OH","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301169","prime",""
"BAE Systems","BrassRing","Operations Research Analyst – Construction Cost Engineering","Project & Program Management","","Kingsport, TN","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300018","prime",""
"BAE Systems","BrassRing","Welder II","Manufacturing & Maintenance","","Aiken, SC","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=291973","prime",""
"BAE Systems","BrassRing","Shipfitter (Trade School)","Manufacturing & Maintenance","","Norfolk, VA","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299812","prime",""
"BAE Systems","BrassRing","Inspector II","Manufacturing & Maintenance","","Boulder, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300583","prime",""
"BAE Systems","BrassRing","Engineer Senior Principal II – Ground Systems","Engineering & Technology","","Boulder, CO","US (CONUS)","","","","","","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300364","prime",""
