Company,ATS,Title,Field,Team,Location,Region,Employment,PayMin,PayMax,PayInterval,Education,URL
BAE Systems,Phenom,Manufacturing Operations Program Manager I,Manufacturing & Maintenance,,"Westminster, CO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301858
BAE Systems,Phenom,Category Manager - Mechanical Fabrication,Supply Chain & Logistics,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300871
BAE Systems,Phenom,Engineer II - Mission Operations Sustainment Systems Engineer,Engineering & Technology,,"Broomfield, CO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298868
BAE Systems,Phenom,Chief Engineer,Engineering & Technology,,"Totowa, NJ",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298937
BAE Systems,Phenom,"Program Control Analyst II, AEWS (Hybrid)",Finance & Accounting,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299379
BAE Systems,Phenom,Engineer Senior Principal - FPGA Design - $20K Sign On Bonus,Engineering & Technology,,"Chantilly, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298880
BAE Systems,Phenom,Full-stack Software Engineer I,Engineering & Technology,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299696
BAE Systems,Phenom,Weekend Days Test Engineer,Engineering & Technology,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299363
BAE Systems,Phenom,Senior Contract Administrator - Hybrid,Other Professionals,,"Merrimack, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299054
BAE Systems,Phenom,Sr. Mechanical Engineer,Engineering & Technology,,"Louisville, KY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299489
BAE Systems,Phenom,Project Engineer I - Electrical Harness,Project & Program Management,,"Westminster, CO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299066
BAE Systems,Phenom,"Director, Capture Management","Business Development, Strategy & Planning",,"McLean, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300087
BAE Systems,Phenom,Engineering Technician III (Cable Fabrication and Integration),Engineering & Technology,,"Chesapeake, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299867
BAE Systems,Phenom,"Engineer Principal – Systems – Guidance, Navigation, and Controls (GN&C)",Engineering & Technology,,"Boulder, CO",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299838
BAE Systems,Phenom,Paint and Coatings Specialist,Manufacturing & Maintenance,,"Fort Walton Beach, FL",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299895
BAE Systems,Phenom,Senior Systems Test Engineer (Hybrid),Engineering & Technology,,"Wayne, NJ",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300503
BAE Systems,Phenom,"Manager I, Program Control",Finance & Accounting,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=299868
BAE Systems,Phenom,Air Systems Analyst - Senior,Other Professionals,,"Quantico, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300605
BAE Systems,Phenom,Principal Systems Engineer (Onsite),Engineering & Technology,,"Springfield, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300732
BAE Systems,Phenom,Software Engineer Principal II,Engineering & Technology,,"Fort Meade, MD",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300478
BAE Systems,Phenom,Principal Power Systems Engineer - Sign on Bonus and Relocation,Engineering & Technology,,"Endicott, NY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298047
BAE Systems,Phenom,Geospatial Data Scientist,Intelligence,,"Sterling, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298856
BAE Systems,Phenom,Program Manager I - Air Transport (Development),Project & Program Management,,"Endicott, NY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300186
BAE Systems,Phenom,BAE Systems - Principal Reliability Engineer,Engineering & Technology,,"Wayne, NJ",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300675
BAE Systems,Phenom,Section Manager / Software Lead (Sign-on bonus available),Engineering & Technology,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298508
BAE Systems,Phenom,Procurement Analyst II,Supply Chain & Logistics,,"Nashua, NH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=300840
BAE Systems,Phenom,Principal Engineer - Full-Stack Ground Software Developer,Engineering & Technology,,"Fairborn, OH",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301166
BAE Systems,Phenom,Journeymen Pipefitter,Manufacturing & Maintenance,,"Norfolk, VA",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=298613
BAE Systems,Phenom,Principal Manufacturing Engineer - Machining,Manufacturing & Maintenance,,"Louisville, KY",US (CONUS),Full-time,,,,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=301829
